0,1,1
0,8,1
1,2,1
2,3,4
2,10,0
3,4,0
4,5,2
4,12,2
5,6,0
6,14,0
7,8,1
7,17,1
8,9,1
9,10,1
9,19,1
10,11,0
11,12,0
11,21,0
12,13,0
13,14,0
13,23,3
14,15,0
15,25,0
16,17,0
16,27,0
17,18,0
18,19,1
18,29,0
19,20,1
20,21,0
20,31,1
21,22,3
22,23,3
22,33,3
23,24,3
24,25,0
24,35,0
25,26,0
26,37,0
27,28,0
28,29,0
28,38,0
29,30,0
30,31,0
30,40,0
31,32,0
32,33,3
32,42,3
33,34,3
34,35,3
34,44,0
35,36,0
36,37,4
36,46,0
38,39,0
39,40,0
40,41,0
41,42,3
41,49,0
42,43,3
43,44,3
43,51,3
44,45,0
45,46,2
45,53,0
39,47,0
47,48,0
48,49,0
49,50,0
50,51,0
51,52,3
52,53,3
