REUR,REUR
7,2
5,4
7,4
6,10
4,3
5,8
8,3
3,2
4,4
2,2
3,4
5,5
6,6
5,4
4,2
7,2
4,2
3,4
2,4
4,2
3,7
5,3
7,3
3,6
8,2
3,4
6,2
5,3
5,2
5,3
4,3
4,3
4,2
3,5
4,2
3,5
6,4
2,2
2,2
5,3
10,2
6,2
5,2
10,4
4,4
2,10
5,2
8,4
5,2
3,3
5,2
2,2
7,3
3,3
4,2
5,6
2,4
5,2
3,2
10,2
2,3
4,4
2,2
7,3
4,4
10,3
4,6
7,2
3,2
5,3
4,10
9,7
5,2
3,6
6,2
2,10
11,2
2,2
6,5
8,2
8,3
4,5
4,3
7,4
6,3
3,3
2,3
3,2
4,3
3,6
7,2
2,10
3,3
2,4
6,3
5,2
2,10
3,8
5,2
4,2
6,5
3,3
2,5
8,5
2,2
2,4
7,4
5,5
6,8
4,3
10,2
7,4
5,3
8,2
9,2
5,6
7,2
6,5
10,2
2,2
6,2
5,4
5,4
6,4
4,5
3,6
3,5
7,4
5,3
4,2
2,4
5,2
3,5
8,3
10,6
5,3
6,2
4,2
5,5
2,4
3,6
2,2
5,2
6,3
3,4
6,3
4,3
2,7
4,3
6,7
7,3
5,3
4,4
8,6
2,2
7,3
6,5
4,2
6,8
2,4
3,4
2,2
2,5
9,2
3,3
7,7
10,2
4,2
3,5
4,2
4,2
9,3
5,6
7,2
5,2
9,3
7,4
5,2
7,4
3,3
3,3
6,8
8,3
2,2
3,5
6,3
6,2
3,3
6,2
4,4
3,4
4,3
5,2
4,5
10,2
2,2
2,5
3,4
7,3
10,4
9,2
8,4
4,2
9,3
6,2
3,4
8,2
4,2
6,3
3,2
5,5
6,2
4,5
8,4
3,3
5,2
6,3
7,3
5,2
6,4
5,2
10,2
3,5
4,6
3,4
3,2
7,6
4,2
6,3
5,9
4,4
6,2
10,3
5,2
10,2
6,3
3,2
4,2
2,4
3,4
2,11
7,4
5,2
2,2
7,2
8,4
3,7
3,4
7,4
4,5
4,2
4,4
4,5
6,3
6,4
8,2
2,2
5,3
4,6
5,2
3,3
4,2
2,2
5,3
3,3
3,7
4,2
10,2
3,3
5,2
7,2
6,8
9,2
3,4
5,2
4,2
2,3
2,6
2,2
2,7
3,4
7,4
7,6
10,3
2,4
6,4
4,5
9,2
5,3
4,8
3,5
3,10
8,3
4,2
2,3
5,2
2,7
6,2
2,3
3,4
