REUR,REUR
2,4
8,7
4,4
3,4
2,3
10,2
4,4
5,5
8,2
5,7
2,6
9,5
7,2
5,5
6,2
6,4
2,4
4,3
6,2
2,11
5,3
2,4
6,4
3,4
6,2
6,5
10,6
4,7
6,4
3,8
4,3
3,2
5,2
2,6
7,7
2,2
3,4
5,3
5,8
5,4
4,2
4,4
6,2
4,3
7,8
6,7
5,5
4,5
9,3
8,3
6,2
8,2
5,6
2,2
4,4
3,3
3,2
6,3
2,8
6,4
6,5
5,3
6,3
7,2
5,3
4,2
4,2
6,5
3,5
10,2
7,2
6,2
5,4
7,4
6,8
5,4
3,4
6,2
6,4
5,2
5,5
7,6
8,4
6,7
3,2
4,6
8,3
10,3
7,2
2,2
5,2
2,3
5,5
4,3
2,2
5,5
3,6
3,5
10,2
4,2
3,3
3,5
5,2
8,2
3,2
6,2
8,3
6,2
3,3
5,2
3,3
4,4
7,3
4,6
11,2
5,2
4,5
6,2
9,3
2,4
9,4
2,6
6,3
4,3
3,2
6,4
7,4
7,3
7,2
5,8
6,2
7,2
10,3
4,3
4,2
6,3
2,2
3,5
2,4
4,6
6,4
9,2
3,4
11,2
7,5
4,2
3,3
3,5
6,2
6,2
7,3
4,6
4,4
2,6
6,3
10,3
2,4
9,2
9,2
7,3
7,2
3,5
7,4
9,4
2,2
2,3
10,2
6,2
7,2
2,2
2,2
5,7
10,7
2,2
7,3
2,2
6,6
4,4
8,2
3,5
5,2
4,2
3,3
6,5
10,4
9,2
7,3
4,2
4,2
4,3
3,6
5,3
2,7
2,2
8,3
6,2
5,10
3,3
4,2
4,4
