RL-GNN-HIER,RAN
10,3
10,3
10,2
10,2
5,3
9,5
6,10
11,4
9,7
10,6
2,10
10,2
10,5
10,6
7,9
11,4
6,3
8,6
10,2
8,11
7,10
10,2
5,11
5,3
10,4
10,5
10,5
10,2
10,6
8,8
8,10
10,2
8,2
6,10
9,4
10,2
10,2
10,8
10,4
4,10
4,11
10,2
10,3
10,4
9,10
11,2
10,3
7,10
9,7
10,2
10,3
7,3
10,4
10,3
3,6
10,6
7,4
5,6
10,2
10,5
10,3
10,5
10,2
9,5
10,2
10,3
9,9
9,10
9,2
9,4
10,7
6,6
9,2
11,4
11,2
10,2
10,3
8,3
11,7
10,7
10,2
7,10
10,2
10,4
11,8
10,2
4,11
10,4
9,3
10,4
10,2
10,3
10,5
10,2
5,11
10,8
4,6
10,3
10,2
6,5
5,11
10,2
6,10
10,3
6,10
9,2
10,3
10,3
11,4
10,5
10,5
10,7
10,2
4,5
10,3
10,3
4,4
10,8
10,3
9,7
7,10
10,6
6,2
5,4
6,4
10,2
10,6
10,5
10,2
10,3
10,3
3,9
11,2
6,2
8,6
10,9
10,5
10,5
10,2
5,11
10,7
10,5
10,2
11,4
8,5
10,7
10,2
7,10
6,6
10,3
10,3
8,7
10,8
4,10
10,3
10,5
5,8
9,6
4,11
8,3
9,10
10,3
6,7
10,5
10,2
10,2
10,2
10,3
10,3
10,5
5,9
6,8
10,3
10,3
9,10
6,10
10,2
10,8
10,6
10,2
10,2
9,10
9,5
10,4
10,5
10,2
10,8
7,4
10,2
10,8
10,3
10,3
10,8
10,3
11,2
10,5
10,4
10,4
10,2
10,6
8,10
6,3
10,2
10,5
7,10
11,4
11,4
10,3
9,2
10,7
10,3
10,3
10,5
10,3
7,5
10,3
7,3
9,9
9,4
4,6
10,9
10,2
6,7
10,2
8,3
10,4
10,6
10,3
8,5
8,6
8,10
10,3
10,7
10,2
9,10
10,2
10,5
11,2
11,2
5,11
10,3
10,2
10,4
10,2
8,10
9,3
10,5
10,5
10,3
10,2
9,2
6,8
5,10
10,2
10,3
10,3
10,3
10,6
10,2
10,2
10,2
10,3
10,3
10,2
9,3
10,7
9,10
10,4
10,2
10,2
10,2
10,2
10,2
8,7
10,2
10,3
9,6
11,2
10,2
10,2
10,3
10,4
10,4
10,4
4,10
4,10
10,3
9,4
11,2
10,2
10,2
10,4
10,2
10,4
10,3
10,3
10,2
8,8
4,10
10,2
10,2
4,10
10,2
10,5
10,2
5,3
11,2
10,7
9,5
10,4
10,2
10,5
8,4
8,4
2,7
10,4
10,7
10,5
10,5
8,5
7,6
10,2
8,8
9,7
11,5
7,4
10,2
10,2
7,3
10,3
7,6
11,7
10,2
10,2
10,2
10,4
10,5
8,10
10,2
5,5
10,4
10,2
10,4
10,5
10,2
11,2
10,3
5,10
10,8
10,2
6,6
10,6
10,3
4,4
5,3
10,5
10,6
10,2
10,7
9,10
10,5
9,7
8,7
6,3
10,2
6,10
6,9
5,10
10,2
11,3
10,3
10,2
8,11
5,10
11,2
7,10
10,7
10,2
7,7
10,7
10,8
6,10
10,4
8,10
10,7
9,2
10,4
6,11
6,10
10,2
9,10
3,11
9,5
7,10
9,6
4,10
10,8
10,2
10,5
10,6
10,5
10,5
4,10
8,10
10,4
9,9
6,2
5,8
10,4
6,3
10,3
5,10
7,10
10,6
10,3
10,2
10,7
4,10
6,4
9,3
7,9
10,3
10,7
10,2
10,3
10,5
10,3
7,2
10,7
8,3
10,2
6,3
7,3
10,7
10,4
8,2
10,2
10,2
10,3
10,2
9,10
5,3
6,10
9,5
10,7
10,2
6,6
10,2
5,10
10,3
6,9
10,4
6,5
10,2
10,2
10,6
8,10
10,3
8,10
10,2
10,2
10,5
10,2
10,2
10,4
10,5
10,3
6,3
10,5
7,5
3,10
10,2
10,3
6,3
10,6
9,3
8,6
4,11
10,4
5,10
10,6
6,4
7,10
10,2
9,9
8,10
10,8
10,5
6,6
10,7
10,3
3,10
9,6
5,4
10,2
10,5
10,2
10,3
6,3
10,2
