RL-FF-HIER,REUR
8,2
2,2
3,4
6,2
10,2
11,5
4,4
7,3
6,2
7,2
10,2
10,3
6,2
6,3
2,6
10,2
5,3
7,4
4,2
10,2
8,5
5,3
6,5
10,5
11,2
5,2
8,2
10,4
5,4
6,2
6,3
5,2
10,2
9,4
3,5
8,2
3,2
5,3
4,4
4,2
10,2
11,2
10,2
4,2
6,2
10,5
7,2
8,2
4,4
4,2
5,9
11,2
5,2
10,2
9,4
7,4
6,2
6,3
4,2
5,4
5,2
4,5
4,2
10,3
5,5
6,2
6,2
6,2
7,4
7,9
4,2
4,6
7,6
6,6
8,3
8,5
9,5
6,6
3,6
10,2
10,3
6,2
7,6
8,5
10,3
11,2
10,7
8,3
9,3
8,4
8,2
10,2
9,9
9,3
8,2
8,3
10,3
7,3
8,4
10,2
6,5
7,3
10,2
10,6
10,2
2,4
9,4
4,2
5,3
6,4
10,3
6,3
2,9
8,2
8,2
7,2
6,3
6,2
5,3
8,5
5,7
6,2
9,4
8,3
10,2
10,2
11,3
7,3
10,3
10,2
11,3
9,2
6,4
5,8
5,3
10,2
10,2
10,3
10,6
9,2
8,2
6,3
10,2
10,2
10,2
8,2
6,2
6,3
4,2
10,3
10,2
9,2
5,6
6,2
11,2
11,2
11,2
10,3
10,3
7,6
10,3
6,6
11,2
11,3
10,2
9,6
7,2
6,2
9,2
9,4
10,4
6,6
8,2
6,5
7,4
10,4
5,6
8,3
6,2
10,3
10,2
11,2
10,2
8,4
9,2
10,5
10,3
10,2
8,4
5,6
11,2
11,2
4,2
7,4
6,7
6,3
6,4
10,2
8,2
7,2
