RL-FF-HIER,REUR
2,2
11,2
10,5
7,3
7,5
5,2
9,2
4,2
7,4
8,3
3,10
3,2
4,2
8,3
10,2
10,2
6,7
7,2
11,2
3,3
10,3
10,2
11,2
6,2
9,4
10,2
5,7
8,2
10,2
11,2
6,2
9,2
3,5
4,3
10,7
10,2
3,2
6,3
9,3
9,4
9,2
9,5
5,3
10,6
8,8
4,2
4,2
10,2
10,5
8,2
7,3
2,6
10,5
7,3
3,2
9,2
6,6
10,4
5,6
6,5
10,3
10,2
3,3
4,8
10,3
11,2
8,2
11,8
8,3
7,2
7,2
3,3
3,2
10,2
7,3
9,7
10,2
10,3
4,4
4,4
8,2
10,4
4,2
5,4
6,2
10,2
7,3
10,2
5,3
9,2
6,3
7,2
11,2
4,5
10,2
4,8
9,4
10,2
10,2
6,4
10,2
6,2
8,2
4,4
10,2
10,2
10,2
9,3
2,4
10,2
10,7
9,2
10,3
6,5
8,4
10,2
10,5
10,4
10,2
10,3
4,2
5,3
5,7
10,2
10,4
10,2
11,2
10,4
5,9
8,9
10,2
6,2
10,3
7,6
10,3
4,4
10,2
10,2
11,2
10,2
10,2
10,3
10,3
11,4
10,2
10,3
6,4
10,2
10,2
6,4
10,2
8,2
10,2
6,5
11,3
5,3
10,2
8,3
10,2
7,2
6,4
10,6
10,3
10,2
6,6
7,5
10,2
10,2
11,2
10,2
4,4
10,2
10,3
7,3
9,2
5,4
10,2
10,3
11,2
10,3
10,2
10,2
10,3
10,2
10,2
10,3
10,2
11,2
10,2
4,4
10,2
5,4
10,2
10,2
9,2
10,4
11,2
6,2
6,5
8,5
