RL-FF-HIER,REUR
5,2
8,2
4,2
3,3
4,5
8,2
10,4
10,2
7,5
10,2
10,6
4,3
10,4
10,2
7,6
2,2
6,6
4,3
5,6
5,2
7,8
10,2
2,10
2,2
7,2
4,8
5,2
8,2
6,2
4,10
6,2
2,2
9,6
7,2
7,3
9,5
10,2
6,9
11,2
6,2
10,5
6,3
7,2
9,7
6,3
10,3
7,4
5,4
11,2
4,2
8,3
5,9
6,3
8,2
10,3
7,3
7,4
11,4
3,7
10,3
10,5
6,3
6,5
6,2
11,2
8,3
10,2
5,7
4,2
10,2
4,2
7,2
11,2
5,4
3,6
10,2
7,3
10,2
3,4
3,6
6,5
7,8
5,10
10,3
4,5
10,3
6,3
5,5
9,2
10,2
10,2
10,3
5,3
5,10
6,2
10,2
10,2
7,2
4,2
11,3
6,2
8,3
4,4
11,3
6,7
8,5
10,4
10,2
4,6
10,2
8,2
7,4
5,10
6,2
8,3
10,3
6,4
7,5
5,3
10,2
11,3
9,2
10,2
6,3
9,2
6,4
8,3
8,3
7,4
10,4
10,2
10,2
10,4
7,3
9,3
10,4
9,4
7,3
4,4
6,6
10,3
10,2
11,2
10,2
9,2
6,5
10,2
10,3
6,2
9,6
9,3
10,3
10,2
10,2
7,2
7,2
10,4
4,4
10,2
6,7
10,3
10,2
6,4
10,2
8,2
9,2
10,2
7,5
8,3
7,2
6,3
5,4
4,6
6,2
9,2
5,10
4,5
10,2
7,5
5,5
7,6
8,3
9,2
10,3
10,3
10,2
9,8
10,2
10,3
10,2
10,2
4,4
10,2
8,3
7,2
8,2
9,2
8,2
6,8
4,5
