RL-FF-HIER,REUR
6,4
5,2
8,2
6,3
10,2
10,3
6,3
10,2
6,9
8,5
5,2
3,2
8,3
7,6
2,4
10,5
10,2
10,2
10,2
7,3
7,2
8,4
10,3
10,4
9,6
5,2
3,10
10,2
7,4
11,2
10,5
10,2
7,5
11,2
7,2
3,7
5,7
6,2
6,2
5,4
6,3
5,2
4,2
10,2
8,2
4,7
6,2
7,2
10,2
10,4
5,4
10,2
7,2
4,4
8,4
10,3
6,2
4,8
3,4
10,3
10,2
7,5
6,4
10,2
8,2
9,7
5,4
4,2
9,2
9,5
7,2
4,8
10,2
6,5
10,2
10,7
10,2
10,2
8,4
10,4
2,4
7,2
9,4
8,4
5,3
4,5
10,2
10,2
7,4
9,8
6,2
5,10
8,2
10,4
10,3
10,3
10,7
9,5
10,3
10,4
2,7
10,2
5,2
6,11
8,4
6,3
10,2
6,7
7,2
7,4
10,2
10,2
6,4
5,2
11,2
7,2
7,3
6,2
11,2
4,9
7,4
10,3
10,2
9,2
4,5
11,5
10,3
10,2
10,3
10,4
10,3
11,2
8,2
10,4
4,7
9,3
6,3
7,4
10,3
5,3
6,4
11,2
10,2
7,4
10,6
9,3
10,3
11,2
10,2
10,2
7,3
5,3
6,2
11,2
10,2
5,5
10,2
9,3
7,8
8,8
10,2
10,3
8,3
9,2
8,2
7,6
11,3
6,3
10,3
10,2
7,2
8,4
4,6
10,2
11,3
10,2
11,2
10,2
11,2
11,2
10,5
11,2
10,2
7,4
10,2
9,4
8,2
7,5
9,3
11,2
10,3
11,2
8,5
9,2
10,3
10,2
8,3
11,2
4,9
11,3
