RL-GNN-HIER,RAN
3,2
5,4
7,4
2,9
5,2
5,2
5,2
4,2
2,2
5,3
5,3
11,2
3,6
5,2
3,5
5,2
3,3
6,2
4,2
8,6
6,2
6,2
4,7
3,2
8,2
6,2
3,6
6,2
5,2
4,2
5,6
4,4
2,2
6,2
2,3
6,2
7,3
6,2
2,2
7,2
5,3
7,2
2,3
3,6
3,4
4,2
7,2
10,2
6,2
8,2
7,3
6,3
6,4
5,7
2,4
3,2
2,5
4,5
3,2
4,3
5,2
6,2
4,4
7,2
7,6
2,5
5,2
5,2
6,5
9,2
2,6
9,2
4,4
3,2
2,2
6,4
7,2
7,2
7,4
8,2
4,3
8,4
2,4
11,3
8,2
4,9
4,2
4,3
6,2
4,2
2,2
2,3
6,5
2,2
7,6
2,2
5,4
3,2
5,2
3,3
2,2
8,2
2,3
12,4
10,3
2,3
2,6
6,2
3,3
9,4
9,3
2,4
4,3
5,2
7,2
2,2
3,9
3,6
2,8
2,6
7,2
12,2
4,2
5,7
3,2
4,3
4,5
8,3
2,2
5,2
13,2
7,4
3,6
7,2
6,6
5,2
5,5
7,2
4,2
9,6
10,3
9,2
8,6
7,2
10,2
7,2
7,2
7,4
8,2
2,2
10,4
8,5
4,5
8,6
6,2
5,3
2,4
6,4
4,2
7,2
5,3
5,3
3,4
2,4
6,5
7,4
5,4
3,2
5,2
7,2
8,2
5,2
7,2
2,2
2,3
3,7
3,3
5,6
5,5
6,2
3,6
3,3
3,4
3,2
2,3
2,2
6,2
9,2
4,2
4,5
7,3
10,4
6,4
8,2
2,2
5,2
4,5
3,9
14,6
10,2
3,5
6,2
8,2
5,2
4,3
5,4
6,4
6,2
8,2
6,2
5,2
5,3
8,2
3,2
2,2
7,2
7,5
4,2
5,5
3,4
10,2
5,4
3,6
9,2
3,2
7,4
7,2
2,2
8,2
3,2
6,5
6,2
5,4
12,2
12,2
4,7
6,3
5,6
4,4
10,3
2,3
6,4
5,3
9,3
4,4
7,2
4,2
7,2
9,2
2,6
6,2
3,3
9,6
8,5
7,2
4,3
7,6
9,2
5,2
2,3
8,2
7,2
9,3
2,2
8,2
7,2
8,3
12,2
3,2
7,5
13,2
5,3
2,5
15,2
14,2
2,2
11,3
8,2
12,5
9,2
7,9
11,2
7,5
4,2
3,2
3,5
6,3
11,6
4,5
10,2
5,4
3,2
15,2
6,2
8,7
4,5
4,3
9,2
9,3
4,5
12,2
5,2
12,2
6,3
5,4
8,4
10,2
7,2
8,2
9,5
7,8
7,3
12,7
4,4
6,4
4,2
4,4
3,5
2,2
15,2
15,3
8,2
7,4
15,2
10,4
2,2
9,2
4,4
10,4
9,3
7,2
4,9
9,2
4,4
5,5
2,3
5,5
4,3
9,2
4,2
2,5
6,2
6,3
5,2
3,2
4,5
9,2
3,2
5,2
6,2
6,2
10,3
5,4
9,2
5,2
4,2
6,3
9,2
4,6
7,4
8,3
6,4
9,2
5,2
7,2
6,2
3,4
8,5
11,2
12,2
6,2
5,2
9,2
12,2
9,5
6,2
7,4
5,2
2,3
5,3
4,6
6,3
5,2
6,3
11,2
4,2
4,3
7,2
10,2
8,4
14,6
2,8
9,4
8,3
7,2
7,2
6,2
2,3
6,3
2,8
2,3
11,5
4,3
8,5
8,3
5,4
6,3
2,4
3,6
3,6
5,9
6,3
7,5
8,2
5,2
9,2
8,3
11,2
5,3
5,2
9,2
6,3
3,5
2,4
3,2
4,4
5,3
10,2
9,3
2,2
5,3
5,6
3,2
4,4
8,2
3,4
7,2
4,2
6,6
9,4
6,2
3,3
11,5
7,4
7,4
4,6
5,4
3,6
8,4
5,4
3,3
7,2
4,2
2,6
5,2
5,2
10,2
11,2
7,3
2,2
6,3
10,2
3,5
7,4
4,5
5,6
7,2
8,3
8,2
4,4
4,3
9,4
6,2
7,4
13,3
2,2
8,4
2,2
11,4
4,4
6,2
3,4
6,2
3,2
12,3
15,4
7,2
2,3
2,2
4,2
3,5
2,5
3,4
7,3
7,3
3,4
4,7
9,4
10,4
6,6
9,2
7,4
7,2
6,5
5,2
4,2
2,2
9,2
2,10
10,2
11,2
5,5
7,8
13,2
3,2
12,2
8,2
3,5
6,3
5,2
11,2
3,5
5,2
3,2
9,3
14,3
9,7
3,5
10,2
2,5
13,2
6,5
10,2
11,3
10,2
4,2
7,4
9,3
6,3
3,4
2,3
3,2
7,4
8,2
11,2
2,2
2,4
4,2
6,2
2,3
5,3
10,2
4,5
6,2
13,3
6,6
6,2
8,2
6,4
10,4
11,3
3,5
6,6
3,8
10,4
3,2
9,2
7,2
8,6
6,2
3,2
6,2
4,5
9,2
8,4
6,7
4,2
5,2
9,3
6,5
7,2
12,3
2,2
4,7
10,2
9,2
5,2
4,4
7,2
5,4
7,2
6,2
7,2
5,4
12,2
7,5
4,2
5,4
15,2
6,2
6,2
15,2
3,2
6,2
7,2
10,3
12,2
9,3
7,2
10,4
8,3
12,2
14,2
11,2
9,2
3,3
10,4
3,6
7,5
11,9
7,5
6,3
10,4
5,2
4,3
6,2
2,4
7,5
8,3
7,2
2,2
11,2
3,5
7,2
7,2
12,5
8,4
6,6
9,3
5,2
7,2
8,3
8,2
3,5
9,2
7,2
4,2
5,6
8,2
5,4
4,3
7,2
6,9
3,5
7,3
