RL-GNN-HIER,REUR
10,3
5,7
10,7
8,2
10,2
4,6
3,3
10,4
8,2
6,3
5,2
7,3
6,6
7,4
9,2
8,4
5,6
7,4
8,5
10,2
6,2
4,5
5,2
8,2
3,4
5,8
5,4
8,2
6,8
10,2
5,3
10,2
9,6
10,2
5,5
6,5
9,4
9,2
10,2
10,2
10,6
10,3
6,3
10,3
10,2
7,3
6,3
8,2
10,4
10,2
4,7
7,4
9,2
10,2
10,3
8,3
8,4
9,2
11,2
8,2
11,2
10,2
10,2
8,8
3,2
9,2
8,3
9,2
10,2
10,2
7,2
10,2
10,2
10,4
10,2
9,4
10,2
6,3
6,3
5,4
10,2
11,3
10,2
4,6
10,2
10,2
8,3
10,3
10,2
11,2
10,2
6,4
10,2
10,2
7,2
8,10
10,3
10,2
11,2
10,2
10,2
9,7
10,3
10,3
9,3
6,2
4,6
10,2
10,3
10,2
7,2
10,5
9,2
10,2
6,2
7,2
5,7
10,2
10,3
10,3
6,4
5,4
6,6
2,2
8,2
11,3
11,2
5,2
6,3
9,3
11,2
11,3
10,2
5,8
6,5
6,2
10,3
8,6
10,3
10,4
6,2
10,3
10,5
9,2
7,4
6,2
10,2
10,4
5,2
10,3
10,3
10,5
10,8
10,4
10,2
10,5
9,5
10,4
10,3
5,2
4,2
11,2
10,3
9,9
10,4
9,3
10,2
10,5
5,10
4,5
5,2
10,2
7,7
7,3
9,3
7,5
5,10
7,4
9,3
10,2
11,2
7,8
10,2
10,4
8,2
10,3
7,2
6,2
10,2
8,2
11,2
10,2
11,2
6,4
10,3
10,2
8,3
10,2
11,2
10,4
10,2
10,4
6,2
10,6
9,5
8,8
5,3
5,2
9,2
10,2
9,2
5,7
7,2
11,2
10,2
11,2
6,2
7,2
10,4
8,3
10,4
7,5
10,3
10,3
6,8
11,2
10,2
10,2
7,2
4,3
10,3
10,2
8,5
5,4
10,2
10,4
10,4
10,3
5,6
10,2
6,2
11,3
10,4
10,5
10,2
10,3
11,2
11,2
4,7
10,3
8,3
5,5
10,2
11,4
10,3
10,2
11,2
11,2
10,3
11,2
6,2
10,6
6,7
10,3
7,3
10,2
8,4
11,2
10,2
8,2
5,3
11,2
11,2
10,3
10,2
6,4
6,2
6,3
8,4
11,2
8,2
5,4
10,3
4,9
6,4
11,6
9,2
10,3
6,2
8,2
8,3
7,5
9,3
8,2
9,3
10,2
10,3
10,2
5,7
10,2
