RL-GNN-HIER,REUR
3,10
10,4
4,2
11,6
9,3
10,5
10,6
10,9
10,8
10,4
10,3
10,2
10,8
11,4
11,7
4,4
9,5
10,9
7,6
10,2
10,2
10,2
9,5
11,6
10,2
10,5
7,10
10,3
10,2
10,5
10,6
6,10
5,10
10,4
10,2
6,2
10,3
10,3
10,2
3,10
7,3
10,7
10,3
3,11
8,10
10,5
10,6
10,5
10,3
10,5
11,2
10,3
3,10
7,8
9,4
10,8
10,2
10,3
10,4
10,4
10,2
10,2
11,3
7,3
5,8
11,3
11,2
10,2
10,3
10,5
10,5
7,5
8,5
10,2
11,3
10,2
10,2
10,2
10,4
7,7
10,2
10,2
10,6
10,4
10,4
8,10
10,2
8,4
9,3
10,2
10,2
4,10
9,3
6,2
10,5
8,2
11,2
10,4
5,11
5,10
4,10
6,5
8,3
10,3
6,5
10,3
6,8
10,4
6,6
4,10
8,6
3,10
11,2
7,2
4,9
8,10
10,4
7,4
3,11
10,5
10,2
10,5
6,4
7,10
9,3
9,10
10,3
11,2
5,3
5,11
10,5
9,5
10,4
6,10
11,3
10,3
10,2
11,4
8,6
10,2
5,11
10,2
10,3
6,3
10,5
10,3
10,4
6,2
2,10
10,2
7,5
10,9
10,5
3,8
8,6
7,2
10,2
6,10
10,2
10,2
10,3
10,8
10,4
6,10
8,3
10,3
10,6
10,2
10,2
9,3
7,6
11,2
10,7
4,10
10,2
9,10
10,7
10,5
4,7
9,7
10,2
7,9
10,4
11,3
5,3
10,4
4,10
10,2
9,8
7,10
10,6
5,3
9,3
10,4
10,3
10,2
10,3
4,10
3,6
3,10
10,4
10,2
10,2
8,4
10,3
10,4
10,5
10,3
10,4
8,3
8,7
11,9
5,4
9,10
6,6
10,2
10,2
10,3
10,9
10,2
10,3
7,2
5,11
6,10
10,2
3,10
10,6
7,2
10,2
8,10
11,5
6,2
6,2
9,2
8,3
10,5
9,4
10,3
8,8
6,10
11,5
11,8
10,7
5,11
10,2
10,4
6,4
10,4
8,9
10,2
8,2
10,2
8,10
10,2
5,4
11,6
6,10
10,2
11,4
11,2
11,2
10,2
7,2
10,6
10,3
10,6
10,3
10,2
10,9
8,4
9,6
10,6
5,10
11,2
6,2
5,2
7,3
7,3
4,10
5,10
10,2
10,2
10,3
5,10
6,9
10,3
10,2
9,3
10,9
10,2
11,3
5,10
7,4
10,5
9,5
6,10
10,3
10,7
10,6
10,3
3,11
10,4
3,10
10,9
10,4
10,4
4,5
10,5
11,3
5,6
10,2
10,2
11,5
10,9
10,5
5,8
8,7
5,10
7,11
7,6
10,4
8,10
7,10
5,5
10,2
10,4
11,3
3,10
10,8
10,6
9,6
6,3
10,7
10,6
11,2
8,10
6,10
4,3
5,10
10,6
6,10
6,2
6,11
10,6
6,10
8,10
10,4
10,4
8,10
5,6
9,4
8,5
4,5
5,11
10,3
6,4
5,3
6,2
11,2
9,8
5,3
7,5
2,10
10,6
11,2
7,3
5,4
4,6
10,2
10,5
10,2
11,3
7,7
10,2
11,2
8,5
7,6
10,3
7,10
10,4
6,4
6,3
10,4
10,2
10,2
10,5
5,10
8,3
10,5
10,4
10,3
5,6
11,2
9,3
10,2
11,5
7,5
10,6
10,2
10,4
10,2
10,2
4,10
10,2
5,3
10,5
10,5
7,10
5,4
10,3
5,11
10,2
3,5
10,5
7,6
9,4
10,6
4,5
4,10
10,2
3,7
10,2
2,10
5,9
7,8
10,9
10,6
5,3
8,2
10,2
11,2
5,7
8,9
10,2
10,4
7,6
5,3
8,4
8,4
5,3
10,3
10,3
10,2
7,6
8,3
11,6
10,7
10,3
11,2
10,5
6,8
4,5
11,2
8,9
10,3
11,5
7,9
7,10
4,2
4,10
10,5
4,10
10,2
10,4
8,3
10,6
8,10
10,7
10,2
9,2
8,2
5,9
10,8
10,8
6,3
9,8
3,10
11,3
10,2
7,6
5,10
10,2
3,11
10,9
10,3
10,2
6,10
10,4
10,6
5,10
9,11
5,10
11,2
4,6
10,2
10,2
5,10
9,10
7,5
10,2
