RL-GNN,REUR
5,2
4,6
5,2
2,4
4,4
5,2
4,9
10,3
9,4
2,6
6,4
2,10
4,4
4,4
9,4
4,2
3,3
4,2
4,4
4,2
6,3
6,2
2,2
4,2
8,2
10,3
6,2
7,3
3,4
3,2
3,8
6,3
7,2
8,4
6,4
10,3
4,2
2,2
9,4
3,7
10,3
4,4
9,3
7,3
4,2
6,3
9,4
6,2
2,4
7,5
3,4
6,2
4,7
2,6
4,3
10,2
6,2
4,2
5,6
6,3
6,3
3,4
4,3
5,2
7,3
4,2
4,8
3,9
5,3
7,3
10,2
4,10
5,6
10,2
7,2
2,2
7,2
8,2
2,2
3,9
2,4
5,4
3,2
7,8
4,4
2,5
3,4
7,2
6,2
4,2
4,2
10,2
4,5
7,8
5,4
6,8
5,2
8,2
7,4
6,9
4,5
7,2
3,2
2,3
4,9
7,3
5,2
6,5
8,2
6,4
10,3
4,2
6,2
3,2
2,5
7,5
6,2
8,2
3,3
4,5
10,3
5,6
9,5
4,7
7,3
5,6
4,3
10,2
2,2
8,4
9,2
5,4
5,4
6,2
4,3
6,3
2,4
7,2
3,2
4,8
4,5
3,5
10,3
7,3
7,4
5,2
2,10
2,2
6,2
9,2
5,5
8,5
2,5
5,2
5,4
10,2
10,2
2,5
4,7
8,3
7,2
3,8
4,3
4,4
2,4
4,6
4,2
4,6
8,2
7,4
6,2
6,2
4,2
10,2
4,2
8,2
4,4
3,5
6,5
4,2
6,4
3,5
10,2
7,3
9,2
4,3
2,5
10,2
3,5
8,4
5,2
4,2
9,5
3,4
3,7
5,2
4,4
5,6
8,2
7,6
