RL-GNN,REUR
2,6
10,4
3,3
9,3
5,4
5,3
5,2
7,6
3,3
5,2
4,2
9,2
10,2
2,5
4,2
5,2
4,2
4,4
4,4
7,3
4,5
10,2
10,2
3,3
3,3
6,4
8,5
9,3
4,8
3,2
9,2
6,6
6,3
7,3
10,2
8,3
2,8
10,4
3,2
6,7
5,3
7,2
3,3
10,3
5,2
4,6
5,5
4,4
7,2
5,4
6,4
7,9
2,3
3,4
4,2
7,2
6,4
6,2
4,3
4,4
9,4
4,5
8,2
7,3
4,2
10,4
10,2
4,8
4,3
7,5
7,3
9,2
5,8
10,2
4,4
3,3
5,4
4,5
6,4
3,7
4,4
4,2
8,2
10,2
10,3
6,3
2,5
8,4
6,2
2,4
4,5
8,2
9,2
2,2
6,2
8,2
4,4
4,2
5,3
4,2
4,5
7,2
6,2
4,6
2,2
9,2
6,5
5,2
7,3
7,2
4,2
7,2
3,7
6,2
6,4
5,6
5,4
6,3
3,5
9,3
6,4
6,2
3,3
4,2
8,5
5,2
4,2
4,7
10,2
4,2
7,2
10,2
7,2
7,3
6,9
4,2
3,3
5,5
5,4
7,3
10,2
6,3
2,9
4,4
4,3
5,3
3,6
3,7
8,7
3,6
3,3
10,2
4,2
3,3
10,2
6,2
5,2
4,4
10,2
4,2
5,5
4,3
8,3
6,2
5,4
6,2
4,2
7,2
3,3
4,2
8,2
6,2
8,4
10,3
4,2
7,5
5,8
4,6
4,2
5,3
10,2
2,5
9,2
9,2
3,7
7,3
6,3
7,6
3,2
5,6
5,5
4,2
2,4
10,3
10,3
5,2
10,2
6,6
5,2
7,2
