RL-GNN,REUR
9,3
5,4
9,2
2,4
2,7
4,4
6,2
6,3
5,5
4,2
6,3
6,3
2,8
4,4
4,2
3,3
3,3
4,4
2,5
2,2
6,5
5,2
6,2
6,4
5,2
2,4
2,2
3,3
5,3
3,3
2,9
6,5
7,2
4,3
5,2
3,6
4,3
2,4
2,2
8,7
4,5
8,4
6,3
8,5
7,2
8,4
2,4
5,4
4,5
6,3
4,4
4,4
3,2
7,3
6,2
2,3
8,2
5,7
6,3
3,9
2,2
9,3
6,4
7,3
2,4
6,2
6,4
3,4
5,5
2,2
4,5
9,2
5,4
4,3
4,6
8,4
10,2
4,2
3,5
5,3
2,4
9,6
8,2
3,2
4,2
5,3
2,4
9,6
8,2
10,2
4,3
5,4
9,2
5,2
6,2
10,2
6,3
3,5
3,3
8,4
4,4
8,2
6,4
6,8
8,7
6,5
10,2
4,5
6,5
4,2
7,2
2,4
7,2
2,2
2,2
10,4
3,2
6,5
5,7
3,3
3,3
2,4
3,3
2,6
4,3
11,2
6,6
10,4
2,2
6,7
10,2
8,2
10,3
5,4
9,4
4,2
5,5
7,2
5,3
3,2
7,6
7,2
5,2
7,3
2,2
8,2
9,3
4,2
7,3
7,3
2,6
4,5
7,2
6,2
3,5
9,4
3,2
5,8
5,2
2,2
5,2
2,2
4,6
4,3
4,2
8,2
5,2
3,4
8,4
9,3
11,2
10,2
2,4
4,5
5,5
2,5
7,3
9,2
7,4
3,3
10,2
2,2
7,3
3,6
6,5
7,2
3,4
4,6
6,6
5,3
5,3
10,3
10,2
4,2
8,2
6,4
8,2
9,4
5,4
8,4
