RL-GNN,REUR
5,2
7,2
6,2
4,4
4,3
7,4
6,4
4,3
4,4
4,2
8,3
5,3
6,2
4,2
8,4
5,4
7,2
7,5
3,5
3,3
6,3
6,3
5,3
2,4
4,8
3,10
6,2
4,2
4,2
3,2
7,2
5,3
7,3
4,3
3,3
8,8
10,3
10,2
7,3
3,3
10,3
5,7
9,3
4,4
3,5
5,5
4,5
5,2
4,3
4,6
5,3
8,3
4,3
3,6
6,2
2,4
10,2
5,2
3,2
2,4
3,3
10,2
8,2
6,4
7,3
4,3
2,2
6,2
2,4
10,2
3,6
8,3
11,3
4,2
10,2
6,8
7,8
7,5
2,2
8,3
3,4
3,3
5,2
6,2
5,3
8,8
4,6
5,4
3,3
5,3
5,6
3,5
10,2
7,2
4,2
8,5
5,2
3,2
7,2
8,2
8,2
5,2
6,4
4,2
3,3
2,4
7,2
8,2
9,2
6,6
4,8
5,2
3,5
7,4
9,2
8,2
6,2
4,2
8,3
6,2
2,4
3,5
6,4
2,2
9,5
2,2
8,2
3,2
7,4
4,2
8,5
6,3
4,3
7,2
2,2
6,4
7,4
10,2
5,2
4,4
5,2
10,4
8,3
9,2
6,6
9,5
5,2
10,3
4,2
3,3
5,2
7,4
3,3
2,4
3,4
3,4
4,4
9,3
4,7
4,5
3,2
6,8
5,5
7,2
6,2
2,10
5,8
11,3
4,4
10,2
10,3
6,4
5,5
7,2
3,4
5,3
9,2
8,6
5,2
10,5
7,2
7,2
4,2
9,3
2,5
4,2
4,2
7,2
10,2
5,5
8,3
5,3
6,4
5,2
6,3
3,2
11,3
5,8
5,6
5,4
