RL-FF-HIER,REUR
10,2
9,3
8,5
10,3
9,2
5,5
11,2
8,4
4,4
8,3
10,3
5,3
10,3
10,3
10,2
4,2
10,4
8,2
6,2
4,3
10,2
10,2
10,4
5,2
3,7
5,4
10,5
10,2
4,4
3,3
7,4
9,4
7,3
9,2
8,4
7,2
7,2
7,5
10,7
7,2
10,3
8,2
5,6
6,2
11,2
8,4
4,4
9,2
4,2
6,4
10,4
7,2
2,4
5,2
8,2
6,2
5,3
4,4
10,3
10,2
6,4
3,3
2,5
7,6
7,2
6,2
11,4
3,3
9,4
9,2
5,3
6,6
8,4
6,4
10,2
7,3
10,5
9,4
7,3
4,5
6,2
4,2
8,2
5,4
10,3
7,2
2,4
4,2
10,2
6,4
6,5
7,3
7,3
8,4
8,2
7,2
5,3
7,2
10,2
8,3
11,4
6,4
4,2
10,2
8,4
9,2
7,2
8,2
9,3
7,3
6,2
10,2
3,5
10,3
10,4
10,3
4,6
11,5
10,3
6,2
6,5
9,3
6,2
2,2
5,2
7,4
7,6
9,3
5,2
6,4
9,2
11,2
8,2
5,2
5,2
7,2
5,4
5,3
10,5
5,3
10,5
11,2
10,3
10,2
7,2
6,2
10,2
8,2
8,4
10,2
11,4
5,4
8,4
4,3
7,3
11,2
10,6
7,2
10,2
9,3
6,3
4,5
10,3
10,2
4,7
7,7
10,2
7,5
7,2
8,5
10,2
6,3
6,3
10,2
8,2
10,3
10,2
9,2
9,4
6,2
6,7
8,3
6,5
10,2
6,2
6,2
10,2
5,4
2,4
3,3
4,6
10,3
7,2
10,5
10,4
6,3
7,2
8,5
8,2
4,2
10,2
9,3
4,5
10,2
10,2
5,6
6,4
8,5
9,5
7,2
10,2
11,2
10,2
10,3
8,3
10,2
10,3
10,2
9,2
5,2
6,2
7,3
8,2
6,4
8,2
11,2
10,4
10,2
10,3
10,2
7,2
6,2
8,2
11,2
10,4
10,4
11,3
6,2
11,2
10,2
5,3
10,2
10,2
8,4
11,2
10,3
10,2
9,3
10,2
6,2
10,7
10,6
4,4
7,4
4,2
6,2
4,3
4,9
10,2
8,2
10,2
9,4
7,2
7,6
10,2
4,3
4,8
4,5
4,2
6,4
10,5
9,3
10,2
10,2
11,4
4,2
5,2
3,2
4,4
8,3
8,2
10,2
9,2
11,2
6,4
8,4
8,4
4,2
4,3
10,2
11,2
6,2
10,2
8,2
11,5
9,5
10,2
11,2
10,4
10,5
