RL-GNN-STREET,REUR
10,2
10,2
2,2
3,5
5,2
4,4
5,4
9,2
6,2
8,3
8,2
10,2
10,3
10,2
3,4
7,2
7,3
5,5
10,2
5,4
5,2
10,3
10,2
8,5
8,5
10,3
5,6
9,3
6,5
9,4
10,2
10,2
9,5
7,5
10,3
3,3
10,2
7,5
10,3
8,9
8,5
11,3
8,2
6,7
10,2
10,2
4,3
5,4
10,2
5,5
4,2
6,10
6,4
5,3
10,5
8,3
5,2
6,3
10,2
10,5
4,2
10,2
7,7
7,3
10,2
9,6
10,4
10,4
10,3
10,2
11,4
4,2
11,4
8,3
7,2
8,2
5,2
10,2
10,2
6,5
4,9
7,3
8,3
7,2
6,2
4,2
8,2
7,5
10,2
8,2
10,2
7,4
10,3
10,2
9,3
7,2
10,5
8,2
8,3
10,2
8,3
11,2
9,2
2,5
10,2
10,2
6,3
8,2
10,4
11,5
4,2
10,4
8,8
3,4
10,2
10,2
4,4
10,3
8,5
5,4
4,2
10,3
8,2
7,8
10,2
10,2
10,3
9,7
4,5
10,2
10,2
10,2
10,2
8,4
10,2
10,2
10,4
10,2
10,3
10,2
11,3
8,4
7,2
10,6
10,2
10,3
5,3
10,2
9,3
10,2
10,3
10,2
10,6
7,3
10,2
11,3
10,3
7,2
10,2
6,2
10,3
10,2
10,2
7,2
10,3
10,5
7,10
10,2
10,4
10,2
7,2
12,2
10,2
9,4
10,2
6,2
10,2
9,3
10,2
10,3
10,2
10,2
10,2
9,4
7,2
10,3
10,2
10,6
7,5
10,2
11,4
8,3
10,2
7,3
10,2
5,4
9,3
10,2
4,2
10,2
10,4
7,4
7,6
8,5
10,2
8,2
10,2
7,2
10,4
10,2
6,3
10,2
10,3
10,2
10,2
8,2
8,2
10,3
10,2
10,4
10,3
10,4
11,2
10,2
10,2
11,2
10,2
10,2
10,2
10,2
9,3
10,4
10,3
6,3
10,2
10,2
10,2
10,2
6,2
6,2
10,2
7,3
8,3
8,2
10,3
10,2
9,2
10,2
10,2
10,2
6,4
10,2
8,4
11,2
11,5
10,2
8,2
10,2
4,2
10,2
5,3
10,3
9,3
10,2
10,3
10,2
10,2
10,2
10,2
10,2
10,2
7,2
11,2
4,4
11,2
7,2
10,2
10,2
10,2
5,5
10,2
10,2
10,3
10,4
6,7
10,6
10,2
7,5
10,2
9,2
10,2
6,2
10,4
10,2
10,2
10,2
10,2
10,3
10,2
10,5
