RL-GNN-STREET,REUR
8,2
3,6
8,3
5,6
6,4
9,4
3,2
10,2
6,4
4,4
8,5
5,3
4,4
3,6
9,2
5,2
6,2
4,2
6,8
10,3
6,7
10,3
6,5
10,2
4,2
10,3
6,3
7,3
7,4
10,2
8,4
11,3
5,3
11,3
10,2
8,4
10,3
10,2
6,2
9,2
4,3
7,3
11,3
10,2
4,6
7,4
4,2
6,2
6,2
10,3
9,4
10,2
11,2
5,4
11,3
11,4
5,4
4,7
8,3
4,3
8,4
9,2
7,2
11,2
7,5
8,2
9,4
8,5
9,2
10,3
10,2
8,2
10,2
10,3
10,2
9,6
5,8
11,3
10,3
4,5
10,2
10,6
10,3
9,2
10,4
10,2
10,8
10,2
9,7
4,4
10,2
10,2
9,4
10,2
5,2
11,3
11,2
9,2
8,4
10,6
8,3
9,3
5,3
8,2
10,2
4,2
8,3
10,2
6,3
4,3
5,3
10,2
10,2
9,2
10,2
10,3
5,6
6,3
7,2
10,2
10,4
8,4
10,4
7,3
7,2
7,3
10,4
10,2
7,6
11,3
4,7
6,3
10,2
10,2
4,2
11,2
11,5
10,5
11,3
10,3
10,2
4,5
11,2
10,2
10,3
10,4
5,3
8,3
9,3
10,2
4,2
7,2
10,4
7,2
10,2
10,4
11,2
5,10
10,2
10,5
10,2
5,3
7,2
4,3
5,3
9,2
5,2
10,3
11,3
9,2
10,2
11,4
10,6
10,2
9,2
11,2
7,7
10,3
10,2
6,3
10,2
10,2
9,3
10,6
2,2
10,2
11,2
6,2
7,2
6,2
8,4
10,2
9,2
10,2
10,2
10,2
10,2
10,6
11,3
10,2
9,3
5,3
11,3
10,4
10,2
10,2
10,3
10,3
10,4
2,4
10,2
10,2
11,2
6,7
10,6
6,3
8,2
10,3
10,2
7,2
10,2
5,2
11,2
8,2
4,2
6,2
10,3
6,2
4,2
7,3
7,4
6,4
8,3
7,3
7,3
11,2
10,2
10,2
10,2
10,2
10,3
10,2
7,2
10,4
11,2
10,3
6,5
10,3
6,4
10,2
10,3
10,2
10,2
9,3
10,2
11,2
11,3
10,2
10,2
10,2
8,2
10,6
11,2
10,2
9,3
9,5
11,4
10,3
11,2
10,2
10,2
7,6
11,2
8,3
4,4
4,4
10,2
10,4
11,5
10,2
10,2
9,2
10,3
10,5
10,2
10,3
10,6
7,3
10,2
10,2
11,5
10,2
10,2
10,2
5,2
7,6
11,2
10,2
7,3
11,4
