RL-FF,REUR
6,2
8,2
5,5
4,2
7,3
6,4
7,3
5,2
2,3
6,2
6,4
3,5
3,7
3,2
9,3
8,3
3,6
5,7
9,5
4,2
5,2
6,4
5,3
3,9
7,4
3,2
6,4
4,6
10,2
6,2
7,3
10,4
3,9
3,6
2,5
6,4
11,2
4,6
8,2
7,3
6,2
3,3
4,4
4,10
2,6
7,2
4,4
3,4
3,2
5,2
5,2
3,3
4,10
2,4
4,6
2,4
6,2
4,2
5,4
6,2
7,2
2,2
3,3
8,2
4,3
5,5
3,3
4,3
5,3
6,2
7,2
11,2
4,3
10,2
8,4
4,4
5,3
8,3
7,5
6,2
10,3
10,4
6,3
8,4
4,5
5,8
6,6
3,3
3,5
2,2
7,4
5,2
7,2
4,2
6,3
7,3
6,4
6,10
6,2
5,2
5,3
7,5
9,2
3,3
8,3
4,2
7,5
10,3
4,3
5,3
2,2
9,3
7,3
4,3
10,3
5,2
5,5
5,3
5,5
3,3
11,3
7,2
3,3
6,2
7,4
3,9
9,2
2,2
10,3
5,3
4,2
7,2
10,4
4,3
4,4
5,2
4,5
8,2
7,3
4,4
2,8
6,6
4,9
7,4
5,2
9,2
11,4
4,4
4,2
5,2
9,2
8,2
4,2
3,4
9,6
5,3
11,4
3,10
3,2
3,5
6,3
3,7
11,3
5,2
10,4
7,3
4,10
7,2
4,2
9,3
3,2
5,5
5,3
4,2
7,3
5,3
6,3
2,2
10,6
9,3
5,3
2,2
10,2
6,2
2,7
6,4
7,3
9,4
6,3
2,4
6,6
4,3
4,4
6,8
3,10
6,3
5,2
3,8
6,5
6,2
