RL-FF,REUR
5,5
5,2
3,3
8,3
7,5
6,2
5,5
4,2
6,2
6,3
6,6
4,7
3,10
3,3
3,2
4,3
10,3
7,6
10,5
9,4
5,9
6,2
3,2
6,3
4,2
4,2
2,5
4,9
5,6
4,7
4,2
10,2
7,2
4,2
4,6
4,4
3,9
6,4
6,5
4,2
10,2
6,2
5,6
4,4
2,4
10,5
5,4
2,3
8,5
5,3
3,8
3,2
9,2
5,2
9,5
10,4
5,3
2,4
6,6
2,5
7,7
7,4
6,2
10,2
4,6
10,7
8,4
9,3
4,5
8,2
2,2
7,5
9,2
10,3
11,2
10,6
2,4
6,2
3,3
9,3
5,6
3,3
5,2
4,4
9,2
6,2
3,6
5,2
3,6
6,4
7,4
10,3
5,4
2,4
4,4
10,2
5,4
9,4
7,3
3,3
5,4
3,7
4,4
7,3
6,4
7,4
4,3
5,4
5,3
5,5
7,2
8,2
6,6
6,2
7,5
10,3
5,6
10,2
6,4
7,3
6,4
9,2
6,3
11,3
2,2
4,2
3,3
4,4
4,4
10,5
5,3
10,6
6,6
4,4
2,5
7,6
3,6
3,4
3,3
10,3
2,4
7,3
11,2
3,4
5,6
5,7
2,4
2,2
5,6
4,4
10,2
10,4
3,2
5,3
6,4
2,2
6,2
11,5
2,2
5,2
5,2
9,2
10,2
4,6
4,7
6,2
6,3
4,5
8,2
9,3
3,4
11,3
2,2
5,3
2,2
6,2
2,6
6,3
6,4
6,6
10,2
5,3
7,2
5,2
5,5
9,2
6,2
10,3
10,2
4,3
4,2
4,3
7,2
7,2
2,2
10,2
7,2
9,4
8,5
6,4
