RL-FF,REUR
10,3
4,2
8,5
6,2
5,3
8,2
3,5
7,3
9,3
6,3
2,6
3,3
3,3
6,5
5,5
6,4
2,4
5,2
7,3
9,4
6,10
6,3
4,4
6,4
5,3
3,3
9,2
2,4
5,4
6,2
2,4
5,2
6,5
10,3
3,3
2,3
5,4
9,2
8,3
8,5
4,3
6,4
5,2
6,3
6,2
6,2
6,2
8,2
9,6
11,5
2,2
3,4
8,2
7,2
5,3
5,3
5,5
4,2
10,2
10,5
11,2
10,2
3,2
4,5
6,6
3,10
10,2
4,4
5,2
2,2
3,4
5,4
7,2
4,4
7,4
6,3
3,6
9,3
6,4
11,2
6,4
5,7
7,5
4,2
4,2
10,2
3,3
3,6
8,2
6,3
9,6
2,5
10,7
10,2
7,2
8,5
3,3
7,2
5,6
10,2
5,7
4,4
6,2
3,3
9,2
6,5
4,9
4,2
10,2
3,4
6,2
7,3
4,6
10,2
2,5
10,2
8,3
4,3
5,2
9,2
10,2
10,2
6,2
7,3
7,3
6,4
4,3
5,3
9,4
2,4
8,5
9,4
7,7
7,2
6,2
7,3
7,3
6,6
4,3
6,4
6,2
7,2
3,5
6,3
10,4
6,3
4,2
3,4
5,4
6,3
9,4
7,4
10,4
3,7
6,2
7,5
3,10
4,5
10,4
2,4
2,3
2,4
3,4
5,6
3,5
4,2
7,5
7,2
5,5
5,3
7,5
10,2
6,2
10,2
7,5
4,2
10,4
6,3
5,3
4,2
5,3
3,4
4,9
9,4
3,4
2,4
4,4
2,5
5,3
5,5
2,2
3,4
7,2
9,4
5,5
2,5
9,3
10,2
9,2
9,3
