RL-GNN-STREET,REUR
5,2
9,3
8,2
9,4
5,3
10,2
8,2
5,2
9,7
7,2
10,3
7,3
4,2
5,5
6,3
7,5
7,2
6,2
8,4
8,4
7,2
10,3
4,4
8,5
6,2
10,4
6,2
9,2
10,2
10,2
5,4
7,6
10,6
10,2
10,2
6,4
9,6
6,4
10,3
6,2
5,3
10,2
9,3
8,3
10,2
10,3
2,7
7,3
6,9
11,2
10,2
10,3
8,2
3,5
10,3
9,4
7,5
10,3
10,4
5,3
6,10
8,3
10,2
10,2
11,2
6,4
7,6
9,5
10,2
8,3
9,2
8,2
2,2
3,7
10,7
9,2
7,4
10,2
11,2
10,7
10,2
9,3
5,6
7,5
10,3
10,7
9,2
11,2
5,4
7,5
10,3
7,2
8,2
11,2
10,2
10,3
10,3
10,2
7,2
9,3
9,4
10,2
7,4
10,2
3,9
10,6
10,2
10,2
7,4
10,4
7,7
9,3
9,2
4,7
3,4
10,2
10,4
10,3
10,5
5,3
6,2
10,2
7,2
9,2
10,2
7,4
10,2
10,3
2,5
7,4
8,5
9,2
7,2
10,2
11,2
10,4
10,5
10,2
11,2
4,2
10,2
10,8
8,2
6,7
4,2
10,2
10,2
9,4
8,2
10,2
3,10
10,2
6,2
10,2
10,2
11,4
11,6
10,4
10,2
7,2
10,2
10,6
10,3
10,4
10,2
10,4
10,2
10,5
10,4
10,2
10,3
11,4
10,2
10,2
6,5
10,2
9,3
10,2
7,3
10,5
3,10
10,3
10,2
10,3
10,2
10,3
10,5
10,2
10,7
10,4
10,2
10,2
10,3
10,3
10,2
10,2
10,2
6,7
7,2
5,2
3,3
10,2
10,2
10,2
10,4
10,4
9,5
10,2
9,2
6,6
10,3
11,2
10,2
10,2
8,4
10,2
11,4
10,4
10,2
10,3
10,2
10,3
10,2
10,2
10,2
10,4
5,3
10,3
8,2
10,3
10,3
10,2
10,4
9,2
11,2
11,2
11,3
10,2
7,2
10,2
10,2
10,2
10,4
10,2
10,2
10,2
10,2
10,3
10,2
7,4
10,2
10,2
10,3
10,4
10,5
10,2
10,3
5,6
7,2
10,3
10,2
10,2
11,3
10,2
10,2
10,2
10,2
10,3
11,5
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,2
10,3
10,2
10,3
10,2
10,2
10,2
10,2
10,2
10,2
10,2
11,3
7,7
8,4
10,2
10,2
10,2
10,3
7,6
10,2
11,2
8,2
8,2
