RL-FF-HIER,REUR
5,4
2,2
7,3
7,6
8,3
9,4
9,3
5,2
9,2
4,2
7,2
10,4
6,6
7,2
8,4
7,2
3,5
4,2
10,2
3,3
8,3
6,3
8,2
8,3
10,3
5,2
7,4
10,2
10,2
9,2
7,4
5,4
5,5
3,5
9,2
6,2
10,2
4,2
9,4
7,4
8,3
7,5
8,2
10,4
10,3
10,2
8,2
7,2
10,2
5,3
10,2
5,3
9,4
7,2
3,2
5,5
9,2
10,2
7,2
10,2
7,2
8,3
10,3
10,5
4,2
11,5
8,2
9,5
11,4
10,2
11,3
2,4
7,8
5,3
10,2
10,2
11,2
9,7
9,5
10,2
7,3
9,4
10,2
10,3
5,2
3,4
10,2
4,5
10,2
10,3
11,2
4,4
8,2
6,2
10,2
8,3
9,2
8,2
4,2
11,2
11,3
8,3
10,2
6,7
10,2
11,2
10,2
10,2
10,2
10,4
9,5
10,2
10,3
8,2
7,5
10,2
11,2
4,2
10,8
10,2
9,5
10,2
5,3
10,3
4,10
10,2
10,2
5,3
10,2
10,4
7,2
9,2
9,2
8,3
6,3
9,2
6,4
6,2
7,2
6,2
10,7
10,4
6,2
5,3
7,7
10,3
6,2
6,3
10,2
6,2
10,3
6,2
10,2
10,3
8,2
10,2
7,3
4,4
11,2
6,2
6,3
10,3
11,3
4,3
9,2
5,2
7,2
10,2
10,3
10,2
6,3
8,4
5,3
4,2
7,3
9,2
11,3
6,4
10,2
7,2
4,2
7,2
6,2
6,5
10,2
8,3
10,2
7,6
6,2
5,2
5,7
10,2
10,2
5,2
10,2
10,3
9,3
8,4
9,3
10,2
