RL-FF-HIER,REUR
5,3
10,4
10,2
3,3
5,4
7,6
5,4
6,4
8,2
3,4
4,2
3,5
6,4
5,2
4,7
10,4
4,7
10,3
8,2
10,2
3,4
8,2
10,2
8,4
7,6
10,2
8,5
11,2
5,4
11,7
6,3
11,2
11,8
5,5
6,2
7,2
6,7
7,2
10,3
9,3
7,2
7,3
11,2
10,2
10,2
5,2
5,7
10,5
9,3
6,2
5,2
10,2
4,2
9,2
10,3
9,2
9,5
10,3
8,3
10,3
9,6
11,3
11,2
10,2
7,3
6,7
10,2
4,4
4,2
10,3
10,2
10,2
9,4
3,7
5,2
10,5
10,2
3,4
5,10
4,3
9,4
11,3
10,3
6,3
10,4
10,2
8,5
10,2
6,3
10,4
9,2
8,2
11,3
10,2
9,2
8,2
5,3
10,6
6,2
4,2
10,3
10,3
7,8
10,3
10,2
10,2
7,2
2,2
10,3
10,2
10,2
10,4
4,11
8,2
10,6
10,2
10,3
8,7
10,2
4,2
6,2
7,2
4,2
9,2
10,2
9,2
10,2
10,2
8,3
11,3
9,5
4,3
10,6
9,3
8,6
10,2
10,2
9,2
10,4
9,2
11,3
10,3
8,6
6,3
10,4
11,3
10,3
10,4
11,4
5,2
5,7
4,4
10,3
5,3
10,2
6,3
5,6
10,2
9,3
10,2
10,2
9,2
10,5
10,4
10,2
6,3
8,3
11,3
9,4
5,3
10,5
7,9
10,2
8,2
10,2
6,2
10,2
8,2
7,3
10,2
10,3
6,4
10,2
10,2
10,2
10,2
7,3
10,2
11,2
10,2
10,3
6,5
10,2
6,2
6,5
10,5
10,5
10,2
10,2
6,2
8,2
10,4
9,2
10,4
10,2
6,4
10,2
10,3
10,3
10,2
10,3
10,2
10,2
10,3
10,3
9,3
10,2
10,5
10,5
10,2
11,2
10,4
10,2
10,2
10,3
10,3
5,2
10,2
10,2
10,6
11,2
11,2
11,3
10,2
10,3
10,3
7,4
10,3
11,3
11,2
10,2
11,5
10,2
10,3
11,3
10,2
10,2
11,2
10,2
10,2
10,2
10,2
10,2
11,2
10,4
10,3
10,4
10,6
10,2
7,5
11,2
10,4
10,2
10,2
10,3
7,3
11,5
10,3
6,2
11,3
10,2
10,2
10,2
10,5
10,2
10,3
10,2
10,2
10,2
10,3
11,2
10,2
10,2
10,2
10,2
10,3
10,2
10,5
4,8
9,2
10,4
10,2
10,2
10,5
10,2
11,4
10,4
10,2
10,2
10,2
