RL-FF-HIER,REUR
8,4
5,3
6,6
6,2
5,4
6,2
7,4
7,4
2,8
8,2
4,2
5,2
5,2
6,5
5,4
4,3
10,2
8,3
10,3
9,2
3,2
4,3
3,3
6,2
10,2
10,2
5,6
10,4
10,2
9,2
6,3
6,2
5,3
11,2
7,2
11,4
10,2
10,2
6,2
6,7
10,2
10,2
11,5
8,3
3,4
10,2
4,2
6,3
10,2
9,7
5,7
8,7
10,2
10,2
6,3
5,5
10,3
9,3
7,2
10,4
10,3
10,3
2,4
5,3
11,6
10,3
10,4
10,6
10,3
6,2
10,4
4,3
5,8
10,5
9,2
10,2
8,2
10,2
9,2
11,3
9,2
6,4
10,3
10,2
10,3
10,2
10,2
10,2
10,2
10,2
10,2
10,3
4,7
10,2
7,4
10,5
10,3
10,2
5,5
9,2
9,3
6,3
10,4
6,2
10,4
6,5
8,3
10,2
9,5
10,3
10,2
6,4
8,4
5,5
3,3
10,4
10,2
9,2
8,2
10,4
8,2
10,2
10,2
10,2
8,4
11,3
10,3
9,2
7,4
8,2
6,6
4,4
9,2
10,2
8,2
9,4
9,6
11,3
2,2
4,5
9,2
7,5
10,2
6,2
10,2
10,6
8,5
10,3
6,9
11,2
8,3
5,7
11,3
6,9
9,2
7,2
5,5
10,2
5,3
7,4
10,3
11,3
6,2
11,2
5,4
10,2
9,2
3,3
10,2
11,3
10,3
10,3
10,2
10,2
5,4
4,4
10,2
10,2
10,2
9,2
7,4
10,2
9,3
10,2
11,3
10,2
10,2
11,2
5,7
10,2
9,2
10,3
10,3
9,2
5,5
10,5
9,3
4,2
10,3
6,4
5,2
7,3
10,2
10,2
7,2
10,2
6,2
6,3
10,2
10,2
10,2
5,3
10,2
7,3
11,3
11,2
7,2
10,3
10,4
10,2
4,4
5,2
7,3
6,9
10,2
4,2
10,2
10,5
10,2
10,2
10,4
10,2
10,2
10,3
10,3
10,2
10,2
10,3
10,3
10,2
10,2
10,2
10,2
10,2
10,2
11,2
10,2
10,2
11,3
10,2
10,3
10,2
10,3
10,2
10,2
10,2
10,2
10,3
11,2
10,2
10,2
10,2
11,3
10,4
10,4
10,4
10,2
10,2
10,2
11,2
10,3
10,5
10,2
11,3
10,2
10,2
10,2
11,5
11,3
11,6
10,2
10,3
10,5
10,2
10,3
10,2
10,2
10,2
11,3
10,3
10,2
10,2
10,2
5,2
10,2
10,2
10,2
9,3
10,2
11,2
