RL-FF-HIER,REUR
10,2
5,5
7,4
4,5
3,4
5,4
4,3
10,4
7,3
5,3
11,4
6,2
7,4
11,2
10,4
5,2
8,4
7,3
2,2
10,2
5,3
6,9
7,3
3,2
3,9
7,3
6,9
10,2
10,2
9,5
5,6
6,2
4,4
5,3
3,3
6,3
10,2
10,2
3,3
7,5
4,4
10,4
7,2
5,8
7,2
4,7
7,4
6,4
10,4
10,2
10,2
2,4
8,2
10,2
10,3
10,7
10,4
11,3
6,7
9,2
11,2
10,2
10,3
11,2
9,3
2,7
10,2
7,4
10,2
6,5
5,2
3,5
10,3
11,3
2,4
10,4
11,3
3,5
10,3
11,5
10,3
10,2
10,2
10,4
10,2
10,2
9,2
10,3
7,4
10,2
8,4
9,2
7,3
10,2
10,3
5,4
10,2
10,2
6,2
6,4
10,2
10,7
10,2
6,2
6,2
10,3
10,4
4,3
10,3
10,3
10,2
9,2
10,2
7,5
10,7
10,6
10,3
10,2
10,3
10,2
10,2
10,2
10,2
5,2
10,2
10,2
10,4
10,3
11,2
8,3
10,2
10,4
6,2
9,4
10,2
2,5
10,3
10,3
10,4
10,3
10,2
10,2
6,2
10,2
10,2
10,3
10,2
9,4
11,2
11,2
6,3
10,2
8,2
8,2
4,2
7,2
10,4
10,2
10,3
5,8
4,8
4,8
7,4
11,2
10,2
10,2
10,2
10,3
10,2
9,3
9,3
9,4
6,2
7,2
8,5
5,3
8,3
7,2
10,5
10,2
6,3
10,2
11,2
8,4
5,2
7,2
4,2
5,4
7,3
10,2
6,6
4,4
10,4
5,3
8,2
10,3
10,2
5,3
11,2
8,4
10,2
8,4
9,2
9,2
8,10
10,2
5,2
6,3
7,4
7,4
9,2
9,2
8,3
10,2
10,2
10,2
10,2
10,3
11,3
5,4
5,3
10,3
4,2
11,3
11,2
10,3
8,3
10,2
11,3
11,2
10,2
4,4
5,5
10,6
10,4
11,3
8,3
10,2
10,3
10,4
10,3
10,3
10,2
4,2
10,2
10,2
11,2
10,2
9,4
11,2
7,4
10,2
10,2
10,4
10,3
5,3
7,2
8,3
10,2
9,2
9,2
10,2
10,2
11,2
10,4
10,3
10,2
11,4
6,2
7,2
10,4
10,3
10,2
10,2
10,3
4,3
10,2
4,2
10,2
7,4
8,3
10,2
10,2
10,2
10,2
11,2
10,2
10,2
10,2
10,4
10,2
10,2
5,2
3,5
7,4
10,5
4,2
10,2
10,2
11,2
