RL-GNN-STREET,REUR
10,2
5,4
5,4
2,2
8,2
7,4
10,4
3,3
5,2
9,2
10,5
6,3
6,5
8,3
10,8
10,5
7,2
10,2
4,5
7,2
4,3
9,5
8,2
10,2
5,3
2,2
10,4
8,5
10,3
5,2
7,3
4,4
6,4
7,2
9,2
9,2
8,5
6,5
5,5
5,6
11,2
10,2
10,2
6,6
5,3
6,2
7,3
8,6
6,2
2,4
3,3
10,4
6,4
11,4
10,2
10,3
4,2
3,5
7,2
5,3
5,4
4,6
9,2
4,10
3,6
6,2
10,6
3,3
10,2
3,2
2,2
10,3
7,2
10,2
5,5
6,4
7,3
9,2
8,3
7,4
3,3
7,3
9,5
7,2
5,2
10,2
11,2
10,2
5,4
10,3
7,9
10,3
7,2
10,2
10,2
11,6
10,2
8,2
7,6
6,2
10,4
10,2
11,4
8,3
10,2
11,2
8,3
10,2
9,5
9,2
10,2
4,2
7,3
4,10
11,3
5,3
7,3
8,2
6,4
5,3
7,4
10,3
10,2
11,6
10,2
6,3
8,4
8,6
10,3
10,2
10,5
4,4
10,2
10,2
4,5
10,3
11,5
5,3
4,4
5,8
4,5
10,2
10,3
9,4
10,2
7,2
4,6
5,5
4,11
10,3
4,4
7,4
10,3
3,4
9,2
10,2
4,2
10,3
4,7
5,5
10,2
9,2
9,2
3,11
10,3
10,4
10,3
10,2
2,8
10,2
4,3
10,3
10,2
10,3
9,3
11,2
10,2
5,3
6,5
10,2
2,2
9,2
10,2
11,4
7,3
11,2
10,3
10,2
10,3
11,2
5,6
10,5
10,2
11,2
10,2
9,6
10,3
11,5
10,2
10,3
10,2
9,4
10,2
10,2
3,8
5,3
9,2
11,2
10,3
11,4
10,2
10,2
7,2
3,5
7,2
11,3
10,3
5,2
10,3
10,4
10,2
10,2
3,7
5,2
10,4
10,2
4,2
9,2
5,5
10,3
10,2
8,3
10,2
10,2
10,4
6,9
2,9
4,2
10,6
10,2
4,3
10,3
8,3
4,6
9,4
2,2
5,3
2,4
7,2
10,3
11,2
10,6
10,2
10,3
10,2
10,2
4,4
10,2
7,3
11,4
10,2
10,3
4,2
10,4
7,4
7,7
11,3
11,2
10,2
10,4
10,2
6,3
11,4
10,2
10,2
10,2
10,2
10,5
10,4
10,2
10,2
10,2
10,2
9,2
9,2
6,7
10,2
10,2
10,3
11,2
10,3
7,2
6,2
11,7
10,2
11,2
10,2
8,2
2,4
2,2
